RT,acc_spd,accuracy,angle,block,coherence,dataset,id,left_right,subj_idx,tdcs,trial_NR
479,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,329
573,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,330
559,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,331
546,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,332
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,333
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,334
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,335
613,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,336
560,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,337
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,338
600,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,339
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,340
586,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,341
586,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,342
573,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,343
560,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,344
546,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,345
627,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,346
520,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,347
639,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,348
546,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,349
533,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,350
533,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,351
466,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,352
520,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,353
587,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,354
520,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,355
507,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,356
853,acc,1,180,1,0.4171,berkeley,S1.1,2,1,sham,357
560,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,358
653,spd,1,180,1,0.4171,berkeley,S1.1,1,1,sham,359
559,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,360
520,spd,1,180,1,0.4171,berkeley,S1.1,2,1,sham,361
507,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,362
640,acc,1,180,1,0.4171,berkeley,S1.1,1,1,sham,363
